,__,PRP$,VBG,VBD,VBN,POS,'',VBP,WDT,JJ,WP,VBZ,DT,#,RP,$,NN,FW,,,.,TO,PRP,RB,-LRB-,:,NNS,NNP,``,WRB,CC,LS,PDT,RBS,RBR,CD,EX,IN,WP$,MD,NNPS,-RRB-,JJS,JJR,SYM,VB,UH,
__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PRP$,0,229,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,11,3,
VBG,0,2,400,0,0,0,2,9,0,15,0,5,0,0,1,0,48,17,1,0,0,0,0,0,0,1,3,2,0,0,1,1,4,1,1,0,0,1,1,0,0,3,0,0,2,7,
VBD,0,0,0,830,42,0,0,2,35,1,22,3,0,0,0,0,12,22,0,1,0,10,1,0,1,1,9,0,0,0,1,0,0,1,0,11,0,0,0,14,0,0,0,0,0,1,
VBN,0,0,1,101,536,0,0,3,2,52,3,0,0,0,1,0,3,11,0,1,2,2,9,0,0,0,0,1,0,0,2,8,1,0,1,6,0,0,1,0,0,0,0,0,6,5,
POS,3,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'',0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VBP,0,0,0,2,0,0,0,340,4,0,16,0,0,0,0,0,16,5,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,2,7,0,2,0,0,0,13,1,
WDT,0,0,0,0,0,0,0,0,63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,
JJ,0,1,3,0,11,3,0,1,0,1662,2,0,3,1,6,0,13,70,1,2,0,0,49,2,0,2,54,32,2,0,5,14,36,0,9,0,2,8,0,1,0,3,0,0,12,26,
